DateTime,Entries,UniqueIPs
1602685206,17980,17980
1602687158,18074,18074
1602689060,18096,18096
1602690975,18201,18201
1602692915,18180,18180
1602694820,18168,18168
1602696758,18172,18172
1602698657,18087,18087
1602700570,18257,18257
1602702520,20059,20059
1602704409,20170,20170
1602706337,20848,20848
1602708275,22271,22271
1602710171,23766,23766
1602712087,24321,24321
1602714037,24296,24296
1602715929,24292,24292
1602717853,24356,24356
1602719796,24395,24395
1602722058,24509,24509
1602724194,24501,24501
1602726005,24458,24458
1602728202,24127,24127
1602730096,24229,24229
1602732110,24234,24234
1602733954,24236,24236
1602735848,24700,24700
1602737798,24698,24698
1602739686,24688,24688
1602741537,24664,24664
1602743555,24723,24723
1602745448,24735,24735
1602747367,24744,24744
1602749319,24731,24731
1602751209,24715,24715
1602753129,24722,24722
1602755083,24713,24713
1602757211,24650,24650
1602759128,24508,24508
1602761083,24447,24447
1602762967,24459,24459
1602764889,24457,24457
1602766849,24243,24243
1602768734,24182,24182
1602770653,24154,24154
1602772604,24238,24238
1602774488,25489,25489
1602776417,25406,25406
1602778365,25424,25424
1602780258,25492,25492
1602782166,25471,25471
1602784126,25432,25432
1602786009,25457,25457
1602787961,25484,25484
1602789848,24976,24976
1602791767,23254,23254
1602793721,22113,22113
1602796601,20529,20529
1602798498,20532,20532
1602800407,20994,20994
1602802358,21461,21461
1602804251,21947,21947
1602806167,22420,22420
1602808085,22874,22874
1602810026,23426,23426
1602811962,23833,23833
1602813851,23834,23834
1602815770,23804,23804
1602817728,23595,23595
1602819606,23526,23526
1602821531,23546,23546
1602823478,23010,23010
1602825369,23034,23034
1602827289,23595,23595
1602829237,23763,23763
1602831129,23692,23692
1602833049,23704,23704
1602834998,23951,23951
1602836890,23944,23944
1602838824,24204,24204
1602840759,27844,27844
1602842925,31824,31824
1602844819,34346,34346
1602846974,36546,36546
1602848895,38325,38325
1602850844,39201,39201
1602852734,39156,39156
1602854654,39169,39169
1602856606,39203,39203
1602858490,39144,39144
1602860428,39158,39158
1602862364,37863,37863
1602864252,38645,38645
1602866175,39422,39422
1602868125,40022,40022
1602870010,40853,40853
1602871936,41010,41010
1602873883,40974,40974
1602875771,40948,40948
1602877692,40850,40850
1602879640,40795,40795
1602881544,40497,40497
1602883457,40056,40056
1602885398,39572,39572
1602887291,39279,39279
1602889230,38895,38895
1602891168,38381,38381
1602893059,37980,37980
1602894973,37511,37511
1602896941,36995,36995
1602898812,36752,36752
1602900734,36807,36807
1602902681,36890,36890
1602904570,36984,36984
1602906492,37160,37160
1602908437,37547,37547
1602910332,38240,38240
1602912257,38599,38599
1602914202,38361,38361
1602916091,38934,38934
1602918261,39475,39475
1602920174,39814,39814
1602922128,40531,40531
1602924016,40837,40837
1602925934,41016,41016
1602927880,36863,36863
1602929771,34554,34554
1602931688,32417,32417
1602933641,30982,30982
1602935532,29512,29512
1602937452,29028,29028
1602939398,29104,29104
1602941385,29084,29084
1602943233,29169,29169
1602945132,29219,29219
1602947084,29415,29415
1602948978,29712,29712
1602950893,29847,29847
1602952848,29774,29774
1602954748,29858,29858
1602956656,29928,29928
1602958602,30008,30008
1602960491,30068,30068
1602962415,29799,29799
1602964365,28078,28078
1602966253,26962,26962
1602968171,25748,25748
1602970117,26020,26020
1602972029,27280,27280
1602973933,28351,28351
1602975899,29740,29740
1602977769,30142,30142
1602979695,30055,30055
1602981643,30018,30018
1602983539,29993,29993
1602985452,29954,29954
1602987401,29869,29869
1602989292,29783,29783
1602991212,29696,29696
1602993164,29328,29328
1602995053,28899,28899
1602996971,28240,28240
1602998919,27745,27745
1603000825,27292,27292
1603002730,26622,26622
1603004678,26009,26009
1603006569,25291,25291
1603008492,24667,24667
1603010439,24290,24290
1603012331,23865,23865
1603014250,23409,23409
1603016200,23330,23330
1603018093,23280,23280
1603020008,23203,23203
1603021994,23141,23141
1603023850,23020,23020
1603025772,22870,22870
1603027722,22765,22765
1603029641,22654,22654
1603031568,22588,22588
1603033454,22358,22358
1603035373,22055,22055
1603037324,21915,21915
1603039213,21933,21933
1603041134,21846,21846
1603043082,21742,21742
1603044971,21669,21669
1603046889,22089,22089
1603048840,22248,22248
1603050737,22233,22233
1603052654,22263,22263
1603054601,22354,22354
1603056491,22463,22463
1603058425,22652,22652
1603060366,22720,22720
1603062258,22621,22621
1603064176,22649,22649
1603066121,22705,22705
1603068015,22802,22802
1603069972,22870,22870
1603071856,22914,22914
1603073771,22938,22938
1603075723,22930,22930
1603077610,22953,22953
1603079566,22987,22987
1603081455,23028,23028
1603083400,23054,23054
1603085290,23069,23069
1603087222,23085,23085
1603089161,23177,23177
1603091057,23207,23207
1603092969,23235,23235
1603094936,23255,23255
1603096811,23264,23264
1603098736,23293,23293
1603100684,23320,23320
1603102574,23352,23352
1603104493,23383,23383
1603106440,23434,23434
1603108337,23440,23440
1603110256,23474,23474
1603112198,23518,23518
1603114091,23524,23524
1603116272,23555,23555
1603118170,23549,23549
1603120132,23534,23534
1603122019,23821,23821
1603123933,23815,23815
1603125884,23822,23822
1603127770,23896,23896
1603129695,23926,23926
1603131638,23980,23980
1603133540,23647,23647
1603135453,21992,21992
1603137401,20471,20471
1603139288,19614,19614
1603142167,17912,17912
1603144087,17891,17891
1603146038,17882,17882
1603147927,17909,17909
1603149852,17931,17931
1603151798,18065,18065
1603153690,18035,18035
1603155623,18061,18061
1603157559,18370,18370
1603159453,18746,18746
1603161373,19329,19329
1603163328,19816,19816
1603165213,20369,20369
1603167163,20699,20699
1603169052,21087,21087
1603170999,21111,21111
1603172887,21141,21141
1603174808,21092,21092
1603176759,21085,21085
1603178651,21079,21079
1603180584,21648,21648
1603182517,21847,21847
1603184424,21860,21860
1603186364,21888,21888
1603188256,21940,21940
